financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2019/2020,Northern NSW,,,,,,,1.175,558.3,460.8,109.4,96.1,
2020/2021,Northern NSW,,,,,,,1.0,480.8,375.9,79.9,84.1,
2021/2022,Northern NSW,,,,,,,,518.8,389.2,81.5,59.9,
2022/2023,Northern NSW,,,,,,,,552.4,449.9,,,
2000/2001,Northern Sydney,0.1951219512195122,0.4150914634146341,0.6883928571428573,1.72131062712388,15.675,0.0696428571428571,,,,,,
2001/2002,Northern Sydney,0.1951219512195122,0.4838414634146341,0.7196428571428573,1.7635542168674698,15.2625,0.0758928571428571,,,,110.2,119.9,
2002/2003,Northern Sydney,0.1951219512195122,0.4063943734675442,0.6763227513227513,1.68855421686747,17.269587628865978,0.0629674644727,,,,92.7,110.1,
2003/2004,Northern Sydney,0.1951219512195122,0.4049204505650499,0.7027399848828421,1.7742685025817555,16.568335787923417,0.0696428571428571,,,,91.7,121.9,10.9
2004/2005,Northern Sydney,0.1951219512195122,0.3735145548734399,0.6716742252456538,1.7580047663180192,15.550957290132546,0.0658283470456245,,,,114.5,148.7,10.9
2005/2006,Northern Sydney,0.1951219512195122,0.4063943734675442,0.6763227513227513,1.700605498918752,15.739175257731956,0.056292071802543,,,,102.7,128.8,10.95
2006/2007,Northern Sydney,0.1951219512195122,0.4713855551253925,0.7022927689594356,1.6652636185768717,14.965979381443296,0.0585172026925953,,,,114.5,134.9,11.6
2007/2008,Northern Sydney,0.1951219512195122,0.4338745321977029,0.697255291005291,1.7150606271238802,14.854896907216496,0.0708863126402393,,,,104.9,143.1,12.1
2008/2009,Northern Sydney,,,,,,,,,,111.0,149.1,12.15
2009/2010,Northern Sydney,0.1951219512195122,0.3963414634146341,0.7321428571428572,1.61355421686747,13.75,0.0288051608077786,,,,109.8,162.7,12.65
