financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2016/2017,Southern NSW,,0.2240676414777005,0.3888401459007684,2.148951429643016,,,476.8,453.7,114.05,87.125,27.4,36.0,261.3,308.4,13.3,15.0,391.8,451.2
2017/2018,Southern NSW,,0.1969609498454024,0.3636862320580289,2.3116235913760894,,,445.1,425.0,142.15,89.85,30.8,38.9,313.5,353.1,11.3,16.2,440.0,505.3
2018/2019,Southern NSW,,0.1989445969922525,0.3666980845123523,2.154204502643132,,,560.6,427.8,119.425,124.175,29.4,38.6,304.0,315.8,9.5,9.4,383.7,457.8
2019/2020,Southern NSW,,0.1804304933032408,0.3925435302882054,2.302080263986021,,,492.2,370.3,114.8,80.225,24.0,35.4,251.0,272.4,8.0,7.4,344.0,425.4
2020/2021,Southern NSW,,0.1999999999999999,0.3416666666666666,2.0416666666666665,,,375.0,331.7,82.85,54.2,22.1,32.6,156.7,230.0,3.9,4.5,255.7,306.4
2021/2022,Southern NSW,,0.1857391732558533,0.2397016552894644,1.949675293089784,,,390.5,310.5,84.52499999999999,33.425,19.35,31.825000000000003,140.7,190.1,4.725,5.35,247.35,316.04999999999995
2022/2023,Southern NSW,,0.2083333333333333,0.2166666666666666,2.058333333333333,,,440.6,418.8,98.66666666666666,53.45833333333333,16.6,31.05,147.46666666666667,231.26666666666668,5.55,6.2,239.0,325.7
2023/2024,Southern NSW,,0.2333333333333333,0.3999999999999999,2.1416666666666666,,,351.8,350.95000000000005,112.80833333333334,73.49166666666667,13.85,30.275,154.23333333333332,272.43333333333334,6.375,7.050000000000001,230.65,335.35
2014/2015,Sydney,0.1421586133789886,0.8465612116873759,0.9899788618854928,1.553116116259753,17.729166666666668,0.0353211771373494,263.0,283.1,105.4,80.875,11.1,29.5,148.7,238.9,7.2,7.9,261.7,336.0
2015/2016,Sydney,0.1746033457107642,0.9107371114137738,1.0037779574315306,1.4537110916517813,17.1125,0.0458333333333333,251.0,287.6,115.575,91.575,12.1,23.3,136.8,241.5,8.3,8.4,260.9,337.7
2016/2017,Sydney,0.1332832280888902,0.9036367570850224,1.056809497236488,1.4668048633918456,17.3625,0.0208333333333333,255.5,263.7,133.2,97.4,11.1,24.5,150.4,246.9,9.8,13.3,280.6,376.6
2017/2018,Sydney,0.0936225416053787,0.8831397743516476,1.0603989893778427,1.5137321056511104,19.00819354568609,0.0385066273080548,208.6,229.5,122.5,102.45,10.9,26.0,149.2,236.8,8.9,13.9,319.9,419.7
2018/2019,Sydney,0.12410349834371,0.8975033672289054,1.0095269087344845,1.5329863204648613,19.429166666666667,0.0458333333333333,233.1,244.4,127.875,99.65,11.3,23.4,162.2,240.1,8.2,12.1,281.5,384.0
2019/2020,Sydney,0.143766212796806,0.7518343957445824,0.9073486806972658,1.5239325116442977,20.30332085796241,0.0375,199.2,202.8,121.025,85.95,10.0,20.2,146.6,204.0,6.9,9.8,297.2,382.0
2020/2021,Sydney,0.1355976486857602,0.743314531020729,0.873356732285131,1.598568613289858,16.495833333333334,0.0166666666666666,183.8,191.9,92.025,74.775,9.8,21.6,80.5,140.6,4.0,6.0,172.8,221.6
2021/2022,Sydney,0.1014160324058885,0.626840857528761,0.7796411911388818,1.498413491048061,13.995833333333332,0.0186573529663742,159.1,160.1,82.375,57.575,15.125,28.375,67.8,102.0,5.175,6.825,239.325,308.65
2022/2023,Sydney,0.0975522362379585,0.6404878705781331,0.8270709754751286,1.547411274706022,13.575932787880538,0.0185076819730646,206.4,193.3,149.625,109.775,20.450000000000003,35.150000000000006,177.4,261.4,6.35,7.65,305.85,395.69999999999993
2023/2024,Sydney,0.125,0.7436132518974167,0.8780744651192189,1.4625519409963206,16.7,0.0315133670942833,332.95,285.0,216.875,161.97500000000002,25.775,41.925,287.0,420.8,7.524999999999999,8.475000000000001,372.375,482.75
