financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2022/2023,South Western Sydney,0.10073034,0.64274897,0.510609108,1.797856521,13.89304596,0.037081531,250.3,248.3,103.54,88.39,24.15,28.35,149.1333333,203.6333333,6.8,9.65,224.05,292.25
2022/2023,Southern NSW,0.133039168,0.208333333,0.216666667,2.058333333,18.51193545,0.06881431,440.6,418.8,98.66666667,53.45833333,16.6,31.05,147.4666667,231.2666667,5.55,6.2,239,325.7
2022/2023,Sydney,0.097552236,0.640487871,0.827070975,1.547411275,13.57593279,0.018507682,206.4,193.3,149.625,109.775,20.45,35.15,177.4,261.4,6.35,7.65,305.85,395.7
2022/2023,Western NSW,0.00239176,0.061372808,0.212797071,2.081559109,18.51193545,0.06881431,620.9,575.8,100.8416667,78.325,23.65,34.75,240.9333333,253.2333333,6.55,8.8,257.75,325
2022/2023,Western Sydney,0.13160966,0.685353478,0.697520777,1.632923823,18.51193545,0.05674025,220.4,209.3,103.775,91.5,13.8,20.7,118.9,127.3,4,5.7,161.9,228
2023/2024,Central Coast,0.022849193,0.183081938,0.258755806,1.791666667,14.53333333,0.075,560.35,455.55,239.8666667,183.25,27.825,51.65,218.9333333,298.5666667,7.425,10.35,233.525,320.825
2023/2024,Hunter New England,0.070492591,0.520867493,0.555903193,2.06547619,21.33571429,0.138171483,410.35,400.15,76.25666667,65.685,24.425,33.175,177.2666667,258.3666667,7.3,6.925,197.1,279.575
2023/2024,Illawarra Shoalhaven,0.108333333,0.4,0.65,1.82031797,20.1125,0.1,382.25,374.15,122.35,104.2916667,24.175,33.075,231.6,282.9666667,7.575,10.85,274.575,350.775
2023/2024,Mid North Coast,0.097882547,0.080987845,0.229455661,1.768525921,18.51193545,0.032218969,550.35,474.45,215.0916667,161.7083333,25.9,36.275,287.0666667,482.2333333,7.775,8.625,310.8,421.6
2023/2024,Murrumbidgee,0.133039168,0.184818631,0.3845924,1.928320407,27.80818201,0.075,604.35,515.45,163,103.5083333,27.5,34.975,215.1,333.5333333,8.725,10,263.475,402.05
2023/2024,Nepean Blue Mountains,0.064388626,0.190289286,0.430313641,2.100313879,15.62691979,0.022274509,477.55,415.3,172.1583333,127.3916667,18.975,27.35,160.8333333,238.7333333,7.725,9.3,261.925,343.75
2023/2024,Northern Sydney,0.0375,0.467736611,0.727352408,1.723651887,14.84814992,0.066621283,213.15,235.9,96.25833333,84.25,12.175,18.1,119.7666667,191.9666667,6.675,7.95,192.125,257.125
2023/2024,South Eastern Sydney,0.241666667,2.925,1.311027837,1.279166667,17.55833333,0.104681956,279.9,277.4,119.7166667,93.01666667,17.25,26.025,169,272,5.775,6.925,197.925,304.25
2023/2024,South Western Sydney,0.116119418,0.651477375,0.656282933,1.850868544,17.64389342,0.046617482,339.45,325.8,108.63,90.73,28.525,30.875,193.0666667,280.2666667,7.8,11.325,247.875,321.575
2023/2024,Southern NSW,0.133039168,0.233333333,0.4,2.141666667,18.51193545,0.06881431,351.8,350.95,112.8083333,73.49166667,13.85,30.275,154.2333333,272.4333333,6.375,7.05,230.65,335.35
2023/2024,Sydney,0.125,0.743613252,0.878074465,1.462551941,16.7,0.031513367,332.95,285,216.875,161.975,25.775,41.925,287,420.8,7.525,8.475,372.375,482.75
2023/2024,Western NSW,0,0.05641406,0.26096189,2.258767748,18.51193545,0.06881431,464,448.45,109.9333333,89.625,19.975,33.325,220.3666667,280.8666667,7.425,8.9,241.975,318.05
2023/2024,Western Sydney,0.121642545,0.604490262,0.840359765,1.740042572,18.51193545,0.091712508,220.4,209.3,103.775,91.5,13.8,20.7,118.9,127.3,4,5.7,161.9,228
